epoch,loss,val_loss
9,3510.092285,1546.261963
0,3880.629639,861.0688477
1,3891.146973,859.7984619
2,3890.674316,854.7822266
3,3880.30127,846.40271
4,3861.196045,835.2208252
5,3834.593018,821.8768311
6,3801.751465,807.0819702
7,3763.875488,791.5667725
8,3722.115967,776.0198975
9,3677.549561,761.088562
0,2714.868896,1110.950806
1,2684.697998,1080.384888
2,2656.034912,1052.171509
3,2629.003906,1026.395752
4,2603.708008,1003.072632
5,2580.159912,982.1609497
6,2558.349121,963.5596924
7,2538.209717,947.1290894
8,2519.64502,932.6975708
9,2502.561035,920.0714722
0,3677.92627,734.8029785
1,3673.1875,727.1417236
2,3668.100342,720.5194702
3,3662.42334,714.6825562
4,3656.010498,709.4542236
5,3648.79248,704.7279663
6,3640.73291,700.4491577
7,3631.858643,696.6070557
8,3622.244141,693.2186279
9,3611.98877,690.3208618
0,3615.770996,928.6373901
1,3602.663574,925.663208
2,3584.688965,924.1268311
3,3562.952393,924.3121338
4,3538.57959,926.4459229
5,3512.647949,930.6748047
6,3486.127441,937.0374756
7,3459.850098,945.4738159
8,3434.490723,955.8310547
9,3410.58667,967.87677
0,2859.20874,758.6943359
1,2857.372559,767.4931641
2,2856.081299,776.2787476
3,2855.052002,784.7532349
4,2854.052979,792.6722412
5,2852.902344,799.8496704
6,2851.463867,806.1326294
7,2849.63501,811.4213257
8,2847.362061,815.656189
9,2844.62085,818.8157959
0,3326.063232,809.586792
1,3323.106934,811.9827271
2,3318.910889,813.609375
3,3313.618652,814.534729
4,3307.393799,814.8359375
5,3300.395996,814.6009521
6,3292.782715,813.9232788
7,3284.70459,812.8916626
8,3276.311768,811.5906982
9,3267.733398,810.1001587
0,3068.053467,1144.728882
1,3070.560303,1137.896973
2,3069.893799,1131.823486
3,3066.246826,1126.451538
4,3059.903809,1121.718872
5,3051.217041,1117.561768
6,3040.564697,1113.914917
7,3028.356201,1110.70752
8,3014.971191,1107.872803
9,3000.784424,1105.343262
0,4364.663574,995.8839111
1,4301.600586,1005.747375
2,4222.609863,1022.177856
3,4134.02832,1044.32605
4,4041.501465,1071.40686
5,3949.668701,1102.590576
6,3862.265137,1136.925049
7,3781.789551,1173.41394
8,3709.825684,1211.005615
9,3647.041504,1248.787842
0,2648.487061,958.3575439
1,2665.709473,964.8967896
2,2680.289307,968.6818237
3,2691.5625,969.7655029
4,2699.176758,968.2888794
5,2703.036377,964.4766846
6,2703.234619,958.5852661
7,2700.01001,950.895874
8,2693.728271,941.7105713
9,2684.79126,931.335083
0,2914.639648,803.2070923
1,2902.265137,792.359375
2,2886.576172,780.5580444
3,2868.279541,768.104248
4,2848.054443,755.2935791
5,2826.530518,742.3857422
6,2804.283936,729.6156006
7,2781.830811,717.2021484
8,2759.62793,705.3081665
9,2738.020996,694.067749
0,2395.523193,1084.952515
1,2380.320557,1075.275635
2,2366.118164,1066.394409
3,2352.992432,1058.343018
4,2340.965332,1051.134155
5,2330.037354,1044.764893
6,2320.186523,1039.207275
7,2311.342773,1034.419678
8,2303.438965,1030.357544
9,2296.371582,1026.969849
0,2938.959473,790.9505005
1,2919.950928,781.9923706
2,2899.720703,772.1385498
3,2878.718506,761.7538452
4,2857.35791,751.1630249
5,2836.004883,740.6521606
6,2814.979004,730.4673462
7,2794.541016,720.7981567
8,2774.908936,711.7891235
9,2756.237793,703.5355225
0,2571.27832,539.8120117
1,2582.900635,538.8882446
2,2590.317627,537.4967041
3,2593.268799,535.5722656
4,2591.827393,533.211792
5,2586.330811,530.6271973
6,2577.292969,528.0979004
7,2565.357178,525.9293213
8,2551.226807,524.4052124
9,2535.61792,523.7337646
0,4813.093262,772.538208
1,4708.705566,785.4637451
2,4568.343262,804.4006958
3,4407.944336,830.0751953
4,4241.350586,862.5766602
5,4079.54834,901.3118896
6,3930.59375,945.1564331
7,3799.616455,992.5892334
8,3689.162842,1041.819214
9,3599.594482,1090.917847
0,3184.202881,1001.484192
1,3245.480957,1035.747437
2,3290.133545,1057.499268
3,3318.778564,1067.007935
4,3332.489746,1065.136841
5,3332.601074,1053.140381
6,3320.646973,1032.512817
7,3298.237793,1004.853149
8,3266.996582,971.8087769
9,3228.53125,934.9991455
0,2815.517578,828.0632935
1,2783.709229,795.7506714
2,2750.488281,764.9975586
3,2716.573242,736.1801147
4,2682.596436,709.588501
5,2649.142822,685.4169922
6,2616.69165,663.7888794
7,2585.611816,644.7432251
8,2556.158203,628.2406006
9,2528.500244,614.1778564
0,2937.150635,676.3737183
1,2913.465332,668.0355835
2,2891.471436,662.4378662
3,2871.137207,659.1221924
4,2852.407227,657.6443481
5,2835.176025,657.5846558
6,2819.328369,658.5687256
7,2804.733643,660.2738647
8,2791.248291,662.442688
9,2778.721191,664.8735962
0,2845.65918,500.9014282
1,2837.094727,503.6600952
2,2828.91333,506.8016663
3,2821.014404,510.2661743
4,2813.317871,514.0270996
5,2805.767578,518.0840454
6,2798.31958,522.4472046
7,2790.957031,527.1356201
8,2783.669922,532.1792603
9,2776.4646,537.5918579
0,2849.502686,782.609314
1,2850.961426,787.2568359
2,2850.085449,791.5078125
3,2847.090088,795.4796143
4,2842.245117,799.2869873
5,2835.842773,803.0281372
6,2828.191406,806.7837524
7,2819.588623,810.6064453
8,2810.310791,814.5228882
9,2800.613281,818.5344849
0,2715.151367,942.9858398
1,2711.228027,948.59729
2,2707.39624,954.6047974
3,2703.678711,960.826355
4,2700.094482,967.0769653
5,2696.637207,973.1873779
6,2693.29248,978.9970703
7,2690.019775,984.3690186
8,2686.792969,989.18396
9,2683.578857,993.3435669
0,2558.236084,794.8334351
1,2557.640137,797.9979248
2,2556.692383,799.8453369
3,2555.391602,800.4420166
4,2553.744385,799.8793335
5,2551.774414,798.2617188
6,2549.513916,795.7069702
7,2547.00293,792.3325806
8,2544.284912,788.2642212
9,2541.399414,783.6256714
0,2861.200195,914.5397339
1,2859.754395,910.2080078
2,2858.148682,905.7595825
3,2856.396484,901.2443237
4,2854.514648,896.7064209
5,2852.516357,892.1868286
6,2850.416748,887.7183838
7,2848.233643,883.3308716
8,2845.978027,879.0483398
9,2843.664307,874.8880615
0,2591.468506,709.8633423
1,2588.183594,702.0287476
2,2583.180664,692.3710938
3,2576.771973,681.2977295
4,2569.276611,669.2064819
5,2561.000732,656.4788818
6,2552.23999,643.46521
7,2543.273926,630.473999
8,2534.324951,617.776062
9,2525.601318,605.5857544
0,3921.547363,740.0930786
1,3920.546387,738.2697144
2,3891.734375,739.2156372
3,3839.89209,742.9064331
4,3770.641113,749.56604
5,3689.744873,759.4761963
6,3602.710205,772.8370361
7,3514.273926,789.6771851
8,3428.330566,809.819519
9,3347.783691,832.87323
0,2175.744141,797.1774292
1,2193.649658,808.7057495
2,2210.403564,818.4816895
3,2225.183838,826.0717773
4,2237.439697,831.2591553
5,2246.889648,833.9772339
6,2253.422607,834.2945557
7,2257.078369,832.3718872
8,2258.000977,828.4420776
9,2256.425293,822.7863159
0,2987.159424,821.5310669
1,2982.639893,809.0465088
2,2976.630127,794.9066772
3,2969.484131,779.6849976
4,2961.538818,763.9054565
5,2953.108398,748.0368042
6,2944.480225,732.4727173
7,2935.899902,717.5445557
8,2927.57373,703.5167847
9,2919.641357,690.5817871
0,2704.139893,467.8584595
1,2697.917969,461.9094849
2,2692.003174,456.9959106
3,2686.455322,453.0678101
4,2681.305664,450.0523376
5,2676.550781,447.8571167
6,2672.178467,446.383728
7,2668.157959,445.52948
8,2664.447998,445.190979
